s,e,t,w
1,2,1984,1
1,3,1984,1
4,5,1984,1
6,7,1984,1
6,8,1984,1
6,9,1984,1
10,11,1984,1
12,13,1984,1
14,15,1984,1
14,16,1984,1
14,17,1984,1
14,18,1984,1
19,20,1984,1
19,21,1984,1
22,23,1984,1
24,25,1984,1
24,26,1984,1
24,27,1984,1
24,28,1984,1
24,29,1984,1
30,31,1984,1
30,32,1984,1
33,34,1984,1
33,35,1984,1
36,37,1984,1
36,38,1984,1
36,39,1984,1
40,41,1984,1
40,41,1984,1
42,43,1984,1
44,45,1984,1
44,46,1984,1
44,47,1984,1
48,49,1984,1
48,50,1984,1
48,51,1984,1
52,53,1984,1
54,55,1984,1
54,56,1984,1
54,57,1984,1
54,58,1984,1
54,59,1984,1
60,61,1984,1
60,62,1984,1
60,63,1984,1
64,65,1984,1
64,66,1984,1
64,67,1984,1
64,68,1984,1
64,69,1984,1
70,71,1984,1
70,72,1984,1
70,73,1984,1
70,74,1984,1
70,75,1984,1
76,77,1984,1
76,78,1984,1
76,79,1984,1
76,80,1984,1
76,81,1984,1
82,83,1984,1
82,84,1984,1
85,86,1984,1
85,87,1984,1
85,88,1984,1
85,89,1984,1
85,90,1984,1
85,91,1984,1
85,92,1984,1
85,93,1984,1
85,94,1984,1
85,95,1984,1
85,96,1984,1
97,98,1984,1
99,100,1984,1
101,102,1984,1
101,103,1984,1
101,104,1984,1
101,105,1984,1
101,106,1984,1
101,107,1984,1
101,108,1984,1
109,110,1984,1
109,111,1984,1
109,112,1984,1
109,113,1984,1
109,114,1984,1
109,115,1984,1
109,116,1984,1
117,118,1984,1
117,119,1984,1
117,120,1984,1
117,121,1984,1
122,123,1984,1
122,124,1984,1
122,125,1984,1
122,126,1984,1
127,128,1984,1
127,129,1984,1
130,131,1984,1
132,133,1984,1
132,134,1984,1
135,136,1984,1
135,137,1984,1
135,138,1984,1
139,140,1984,1
141,142,1984,1
141,143,1984,1
141,144,1984,1
145,146,1984,1
145,147,1984,1
148,149,1984,1
150,151,1984,1
150,152,1984,1
150,153,1984,1
154,155,1984,1
154,156,1984,1
157,158,1984,1
157,159,1984,1
157,160,1984,1
157,161,1984,1
157,162,1984,1
163,164,1984,1
165,166,1984,1
165,167,1984,1
168,169,1984,1
170,171,1984,1
172,173,1984,1
172,174,1984,1
172,175,1984,1
172,176,1984,1
177,178,1984,1
177,179,1984,1
177,180,1984,1
177,181,1984,1
177,179,1984,1
177,180,1984,1
177,182,1984,1
183,176,1984,1
183,172,1984,1
183,184,1984,1
183,185,1984,1
183,175,1984,1
