Unnamed: 0,s,e,t,w
0,1,2,1984,1
1,1,3,1984,1
2,1,4,1984,1
3,5,6,1984,1
4,5,7,1984,1
5,5,8,1984,1
6,5,9,1984,1
7,5,10,1984,1
8,5,11,1984,1
9,12,13,1984,1
10,12,14,1984,1
11,12,15,1984,1
12,16,17,1984,1
13,16,18,1984,1
14,16,19,1984,1
15,16,20,1984,1
16,16,21,1984,1
17,16,22,1984,1
18,16,23,1984,1
19,16,24,1984,1
20,16,25,1984,1
21,26,27,1984,1
22,26,28,1984,1
23,26,29,1984,1
24,26,30,1984,1
25,31,32,1984,1
26,31,33,1984,1
27,31,34,1984,1
28,31,35,1984,1
29,31,36,1984,1
30,31,37,1984,1
31,38,39,1984,1
32,40,41,1984,1
33,40,42,1984,1
34,40,43,1984,1
35,40,44,1984,1
36,40,45,1984,1
37,40,46,1984,1
38,40,47,1984,1
39,40,48,1984,1
40,40,49,1984,1
41,40,50,1984,1
42,40,51,1984,1
43,52,53,1984,1
44,52,54,1984,1
45,52,55,1984,1
46,52,56,1984,1
47,52,57,1984,1
48,52,58,1984,1
49,59,60,1984,1
50,59,61,1984,1
51,59,62,1984,1
52,59,63,1984,1
53,59,64,1984,1
54,65,66,1984,1
55,65,67,1984,1
56,65,68,1984,1
57,65,69,1984,1
58,65,70,1984,1
59,71,72,1984,1
60,71,73,1984,1
61,71,74,1984,1
62,71,75,1984,1
63,71,76,1984,1
64,71,77,1984,1
65,71,78,1984,1
66,79,80,1984,1
67,79,81,1984,1
68,79,82,1984,1
69,79,83,1984,1
70,79,84,1984,1
71,79,85,1984,1
72,79,86,1984,1
73,87,88,1984,1
74,87,89,1984,1
75,90,91,1984,1
76,90,92,1984,1
77,90,93,1984,1
78,90,94,1984,1
79,90,95,1984,1
80,90,96,1984,1
81,90,97,1984,1
82,90,98,1984,1
83,99,100,1984,1
84,101,102,1984,1
85,103,104,1984,1
86,103,105,1984,1
87,103,106,1984,1
88,103,107,1984,1
89,103,108,1984,1
90,103,109,1984,1
91,110,111,1984,1
92,110,112,1984,1
93,110,113,1984,1
94,110,114,1984,1
95,110,115,1984,1
96,116,117,1984,1
97,116,118,1984,1
98,116,119,1984,1
99,116,120,1984,1
100,116,121,1984,1
101,116,122,1984,1
102,116,123,1984,1
103,116,124,1984,1
104,125,126,1984,1
105,125,127,1984,1
106,128,129,1984,1
107,128,130,1984,1
108,128,131,1984,1
109,128,132,1984,1
110,128,133,1984,1
111,128,134,1984,1
112,135,136,1984,1
113,135,137,1984,1
114,135,138,1984,1
115,135,139,1984,1
116,135,140,1984,1
117,135,141,1984,1
118,135,142,1984,1
119,135,143,1984,1
120,135,144,1984,1
121,145,146,1984,1
122,145,147,1984,1
123,145,148,1984,1
124,145,149,1984,1
125,145,150,1984,1
126,151,152,1984,1
127,151,153,1984,1
128,151,154,1984,1
129,151,59,1984,1
130,151,64,1984,1
131,151,155,1984,1
132,151,156,1984,1
133,151,157,1984,1
134,151,158,1984,1
135,151,159,1984,1
136,151,160,1984,1
137,151,161,1984,1
138,151,100,1984,1
139,162,163,1984,1
140,162,164,1984,1
141,162,165,1984,1
142,162,166,1984,1
143,162,167,1984,1
144,168,169,1984,1
145,168,170,1984,1
146,168,171,1984,1
147,168,172,1984,1
148,168,173,1984,1
149,168,174,1984,1
150,168,175,1984,1
151,168,176,1984,1
152,168,177,1984,1
153,168,178,1984,1
154,168,179,1984,1
155,168,180,1984,1
156,168,181,1984,1
157,168,182,1984,1
158,168,183,1984,1
159,168,184,1984,1
160,168,185,1984,1
161,186,187,1984,1
162,186,188,1984,1
163,186,189,1984,1
164,186,190,1984,1
165,186,191,1984,1
166,186,192,1984,1
167,186,193,1984,1
168,186,194,1984,1
169,186,195,1984,1
170,186,196,1984,1
171,186,197,1984,1
172,186,198,1984,1
173,199,200,1984,1
174,201,202,1984,1
175,201,203,1984,1
176,201,204,1984,1
177,201,205,1984,1
178,201,206,1984,1
179,201,207,1984,1
180,208,209,1984,1
181,208,210,1984,1
182,208,211,1984,1
183,212,213,1984,1
184,212,214,1984,1
185,215,216,1984,1
186,217,218,1984,1
187,217,219,1984,1
188,217,220,1984,1
189,217,221,1984,1
190,217,222,1984,1
191,217,223,1984,1
192,224,225,1984,1
193,226,227,1984,1
194,226,228,1984,1
195,226,229,1984,1
196,226,230,1984,1
197,226,231,1984,1
198,232,233,1984,1
199,232,234,1984,1
200,232,235,1984,1
201,232,236,1984,1
202,232,237,1984,1
203,238,239,1984,1
204,238,240,1984,1
205,238,241,1984,1
206,238,242,1984,1
207,238,243,1984,1
208,238,244,1984,1
209,238,245,1984,1
210,238,246,1984,1
211,238,247,1984,1
212,238,248,1984,1
213,238,249,1984,1
214,250,251,1984,1
215,252,253,1984,1
216,252,254,1984,1
217,255,256,1984,1
218,255,257,1984,1
219,255,258,1984,1
220,255,259,1984,1
221,260,261,1984,1
222,260,262,1984,1
223,260,263,1984,1
224,260,264,1984,1
