s,e,t,w
1,2,1984,1
1,3,1984,1
1,4,1984,1
1,5,1984,1
1,6,1984,1
1,7,1984,1
8,9,1984,1
8,10,1984,1
8,11,1984,1
8,12,1984,1
8,13,1984,1
14,15,1984,1
14,16,1984,1
14,17,1984,1
14,18,1984,1
14,19,1984,1
14,20,1984,1
14,21,1984,1
14,22,1984,1
14,23,1984,1
14,24,1984,1
14,25,1984,1
14,26,1984,1
14,27,1984,1
14,28,1984,1
14,29,1984,1
30,31,1984,1
32,33,1984,1
34,35,1984,1
34,36,1984,1
37,38,1984,1
37,39,1984,1
40,41,1984,1
40,42,1984,1
40,43,1984,1
40,44,1984,1
40,45,1984,1
40,46,1984,1
47,48,1984,1
47,49,1984,1
50,51,1984,1
50,52,1984,1
50,53,1984,1
54,55,1984,1
56,57,1984,1
56,58,1984,1
56,59,1984,1
56,60,1984,1
56,61,1984,1
56,62,1984,1
63,64,1984,1
63,65,1984,1
63,66,1984,1
67,68,1984,1
67,69,1984,1
67,70,1984,1
71,72,1984,1
71,73,1984,1
71,74,1984,1
75,76,1984,1
75,77,1984,1
78,79,1984,1
78,80,1984,1
78,81,1984,1
78,82,1984,1
78,83,1984,1
84,85,1984,1
84,86,1984,1
84,87,1984,1
88,89,1984,1
88,90,1984,1
88,91,1984,1
88,92,1984,1
88,93,1984,1
94,95,1984,1
94,96,1984,1
94,97,1984,1
94,98,1984,1
94,99,1984,1
100,101,1984,1
100,102,1984,1
100,103,1984,1
100,104,1984,1
100,105,1984,1
100,106,1984,1
100,107,1984,1
108,109,1984,1
108,110,1984,1
108,111,1984,1
108,112,1984,1
108,113,1984,1
114,115,1984,1
116,117,1984,1
116,118,1984,1
116,119,1984,1
116,120,1984,1
116,121,1984,1
116,122,1984,1
123,124,1984,1
123,125,1984,1
126,127,1984,1
126,128,1984,1
126,129,1984,1
126,130,1984,1
126,131,1984,1
126,132,1984,1
126,133,1984,1
126,134,1984,1
126,135,1984,1
126,136,1984,1
126,137,1984,1
126,138,1984,1
126,139,1984,1
126,140,1984,1
126,141,1984,1
126,142,1984,1
126,143,1984,1
126,144,1984,1
126,145,1984,1
126,146,1984,1
147,148,1984,1
149,150,1984,1
149,151,1984,1
149,152,1984,1
149,153,1984,1
149,154,1984,1
155,155,1984,1
156,157,1984,1
156,158,1984,1
156,159,1984,1
160,161,1984,1
160,162,1984,1
163,164,1984,1
163,165,1984,1
163,166,1984,1
167,168,1984,1
167,169,1984,1
167,170,1984,1
171,172,1984,1
171,173,1984,1
171,174,1984,1
171,175,1984,1
171,176,1984,1
