,s,e,t
0,"prince,hm","kim,younh.",2017
1,"prince,hm","horwitz,stevenm.",2017
2,"prince,hm","dummer,reinhard",2017
3,"prince,hm","scarisbrick,julia",2017
4,"prince,hm","quaglino,pietro",2017
5,"prince,hm","zinzani,pierluigi",2017
6,"prince,hm","wolter,pascal",2017
7,"prince,hm","sanches,josea.",2017
8,"prince,hm","ortiz-romero,pablol.",2017
9,"prince,hm","akilov,olege.",2017
10,"prince,hm","geskin,larisa",2017
11,"prince,hm","trotman,judith",2017
12,"prince,hm","taylor,kerry",2017
13,"prince,hm","dalle,stephane",2017
14,"prince,hm","weichenthal,michael",2017
15,"prince,hm","walewski,jan",2017
16,"prince,hm","fisher,david",2017
17,"prince,hm","dreno,brigitte",2017
18,"prince,hm","stadler,rudolf",2017
19,"prince,hm","feldman,tatyana",2017
20,"prince,hm","kuzel,timothym.",2017
21,"prince,hm","wang,yinghui",2017
22,"prince,hm","palanca-wessels,mariacorinna",2017
23,"prince,hm","zagadailov,erin",2017
24,"prince,hm","trepicchio,williaml.",2017
25,"prince,hm","zhang,wenwen",2017
26,"prince,hm","lin,hui-min",2017
27,"prince,hm","liu,yi",2017
28,"prince,hm","huebner,dirk",2017
29,"prince,hm","little,meredith",2017
30,"prince,hm","whittaker,sean",2017
31,"prince,hm","duvic,madeleine",2017
32,"jairam,ap","timmermans,lucas",2017
33,"jairam,ap","eker,hasanh.",2017
34,"jairam,ap","pierik,roberte.g.j.m.",2017
35,"jairam,ap","vanklaveren,david",2017
36,"jairam,ap","steyerberg,ewoutw.",2017
37,"jairam,ap","timman,reinier",2017
38,"jairam,ap","vanderham,ariec.",2017
39,"jairam,ap","dawson,imro",2017
40,"jairam,ap","charbon,jana.",2017
41,"jairam,ap","schuhmacher,christoph",2017
42,"jairam,ap","mihaljevic,andre",2017
43,"jairam,ap","izbicki,jakobr.",2017
44,"jairam,ap","fikatas,panagiotis",2017
45,"jairam,ap","knebel,philip",2017
46,"jairam,ap","fortelny,reneh.",2017
47,"jairam,ap","kleinrensink,gert-jan",2017
48,"jairam,ap","lange,johanf.",2017
49,"jairam,ap","jeekel,hansj.",2017
50,"herbert,a","gilbert,ruth",2017
51,"herbert,a","cottrell,david",2017
52,"herbert,a","li,leah",2017
53,"lindley,ri","anderson,craigs.",2017
54,"lindley,ri","billot,laurent",2017
55,"lindley,ri","forster,anne",2017
56,"lindley,ri","hackett,mareel.",2017
57,"lindley,ri","harvey,lisaa.",2017
58,"lindley,ri","jan,stephen",2017
59,"lindley,ri","li,qiang",2017
60,"lindley,ri","liu,hueiming",2017
61,"lindley,ri","langhorne,peter",2017
62,"lindley,ri","maulik,pallabk.",2017
63,"lindley,ri","murthy,gudlavalletivenkatasatyanarayana",2017
64,"lindley,ri","walker,marionf.",2017
65,"lindley,ri","pandian,jeyarajd.",2017
66,"lindley,ri","alim,m.",2017
67,"lindley,ri","felix,c.",2017
68,"lindley,ri","gandhi,d.b.c.",2017
69,"lindley,ri","syrigapu,a.",2017
70,"lindley,ri","tugnawat,d.k.",2017
71,"lindley,ri","verma,s.j.",2017
72,"lindley,ri","shamanna,b.r.",2017
73,"lindley,ri","hankey,g.",2017
74,"lindley,ri","thrift,a.",2017
75,"lindley,ri","bernhardt,j.",2017
76,"lindley,ri","mehndiratta,m.m.",2017
77,"lindley,ri","jeyaseelan,l.",2017
78,"lindley,ri","donnelly,p.",2017
79,"lindley,ri","byrne,d.",2017
80,"lindley,ri","steley,s.",2017
81,"lindley,ri","santhosh,v.",2017
82,"lindley,ri","chilappagari,s.",2017
83,"lindley,ri","mysore,j.",2017
84,"lindley,ri","roy,j.",2017
85,"lindley,ri","padma,m.v.",2017
86,"lindley,ri","john,l.",2017
87,"lindley,ri","aaron,s.",2017
88,"lindley,ri","borah,n.c.",2017
89,"lindley,ri","vijaya,p.",2017
90,"lindley,ri","kaul,s.",2017
91,"lindley,ri","khurana,d.",2017
92,"lindley,ri","sylaja,p.n.",2017
93,"lindley,ri","halprashanth,d.s.",2017
94,"lindley,ri","madhusudhan,b.k.",2017
95,"lindley,ri","nambiar,v.",2017
96,"lindley,ri","sureshbabu,s.",2017
97,"lindley,ri","khanna,m.c.",2017
98,"lindley,ri","narang,g.s.",2017
99,"lindley,ri","chakraborty,d.",2017
100,"lindley,ri","chakraborty,s.s.",2017
101,"lindley,ri","biswas,b.",2017
102,"lindley,ri","kaura,s.",2017
103,"lindley,ri","koundal,h.",2017
104,"lindley,ri","singh,p.",2017
105,"lindley,ri","andrias,a.",2017
106,"lindley,ri","thambu,d.s.",2017
107,"lindley,ri","ramya,i.",2017
108,"lindley,ri","george,j.",2017
109,"lindley,ri","prabhakar,a.t.",2017
110,"lindley,ri","kirubakaran,p.",2017
111,"lindley,ri","anbalagan,p.",2017
112,"lindley,ri","ghose,m.",2017
113,"lindley,ri","bordoloi,k.",2017
114,"lindley,ri","gohain,p.",2017
115,"lindley,ri","reddy,n.m.",2017
116,"lindley,ri","reddy,k.v.",2017
117,"lindley,ri","rao,t.n.m.",2017
118,"lindley,ri","alladi,s.",2017
119,"lindley,ri","jalapu,v.r.r.",2017
120,"lindley,ri","manchireddy,k.",2017
121,"lindley,ri","rajan,a.",2017
