Unnamed: 0,s,e,t,w
0,1,2,1984,1
1,1,3,1984,1
2,1,4,1984,1
3,1,5,1984,1
4,1,6,1984,1
5,1,7,1984,1
6,8,9,1984,1
7,8,10,1984,1
8,11,12,1984,1
9,11,13,1984,1
10,14,15,1984,1
11,14,16,1984,1
12,14,17,1984,1
13,14,18,1984,1
14,14,19,1984,1
15,20,21,1984,1
16,20,22,1984,1
17,23,24,1984,1
18,25,26,1984,1
19,27,28,1984,1
20,29,30,1984,1
21,31,32,1984,1
22,33,34,1984,1
23,35,36,1984,1
24,35,37,1984,1
25,35,38,1984,1
26,35,39,1984,1
27,35,40,1984,1
28,41,42,1984,1
29,41,43,1984,1
30,41,44,1984,1
31,41,45,1984,1
32,41,46,1984,1
33,41,47,1984,1
34,41,48,1984,1
35,41,49,1984,1
36,50,51,1984,1
37,50,52,1984,1
38,50,53,1984,1
39,50,54,1984,1
40,55,56,1984,1
41,55,57,1984,1
42,58,59,1984,1
43,58,60,1984,1
44,61,62,1984,1
45,61,63,1984,1
46,64,65,1984,1
47,66,67,1984,1
48,68,69,1984,1
49,68,70,1984,1
50,71,72,1984,1
51,73,74,1984,1
52,75,76,1984,1
53,75,77,1984,1
54,75,78,1984,1
55,75,79,1984,1
56,80,81,1984,1
57,80,82,1984,1
58,80,83,1984,1
59,80,84,1984,1
60,80,85,1984,1
61,80,86,1984,1
62,80,87,1984,1
63,88,89,1984,1
64,88,90,1984,1
65,91,92,1984,1
66,91,93,1984,1
67,91,94,1984,1
68,91,95,1984,1
69,96,97,1984,1
70,96,98,1984,1
71,99,100,1984,1
72,99,101,1984,1
73,99,102,1984,1
74,103,104,1984,1
75,103,105,1984,1
76,103,106,1984,1
77,103,107,1984,1
78,103,108,1984,1
79,103,109,1984,1
80,103,110,1984,1
81,111,112,1984,1
82,111,113,1984,1
83,114,115,1984,1
84,114,116,1984,1
85,114,117,1984,1
86,118,119,1984,1
87,118,120,1984,1
88,118,121,1984,1
89,118,122,1984,1
90,123,124,1984,1
91,123,125,1984,1
92,123,126,1984,1
93,123,127,1984,1
94,128,129,1984,1
95,130,131,1984,1
96,132,133,1984,1
97,132,134,1984,1
98,132,135,1984,1
99,132,136,1984,1
100,132,137,1984,1
101,132,138,1984,1
102,132,139,1984,1
103,132,140,1984,1
104,132,141,1984,1
105,142,143,1984,1
106,142,144,1984,1
107,142,145,1984,1
108,142,146,1984,1
109,147,148,1984,1
110,149,150,1984,1
111,149,151,1984,1
112,149,152,1984,1
113,149,153,1984,1
114,149,154,1984,1
115,149,155,1984,1
116,149,156,1984,1
117,157,158,1984,1
118,157,159,1984,1
119,157,160,1984,1
120,157,161,1984,1
121,162,163,1984,1
122,164,165,1984,1
123,164,166,1984,1
124,164,167,1984,1
125,168,169,1984,1
126,168,170,1984,1
127,168,171,1984,1
128,168,172,1984,1
129,173,174,1984,1
130,173,175,1984,1
131,173,176,1984,1
132,173,177,1984,1
133,178,179,1984,1
134,180,181,1984,1
135,180,182,1984,1
136,183,184,1984,1
137,185,186,1984,1
138,187,188,1984,1
139,187,189,1984,1
140,190,191,1984,1
141,190,192,1984,1
142,193,194,1984,1
143,193,195,1984,1
144,193,196,1984,1
145,193,197,1984,1
146,193,198,1984,1
147,199,200,1984,1
148,199,201,1984,1
149,199,202,1984,1
150,199,203,1984,1
151,204,205,1984,1
152,204,206,1984,1
153,204,207,1984,1
154,208,209,1984,1
155,208,210,1984,1
156,208,211,1984,1
157,208,159,1984,1
158,208,212,1984,1
159,208,213,1984,1
160,208,214,1984,1
161,215,216,1984,1
162,215,217,1984,1
163,215,218,1984,1
164,215,219,1984,1
165,220,221,1984,1
166,220,222,1984,1
167,220,223,1984,1
168,220,201,1984,1
169,224,225,1984,1
170,226,227,1984,1
171,226,228,1984,1
172,229,230,1984,1
173,229,231,1984,1
174,229,232,1984,1
175,229,233,1984,1
176,234,235,1984,1
177,236,237,1984,1
178,238,239,1984,1
179,238,240,1984,1
180,238,241,1984,1
181,238,242,1984,1
182,238,243,1984,1
183,244,245,1984,1
184,246,247,1984,1
185,246,248,1984,1
186,246,249,1984,1
187,250,251,1984,1
188,252,253,1984,1
189,252,254,1984,1
190,252,255,1984,1
191,252,159,1984,1
192,256,257,1984,1
193,256,258,1984,1
194,259,260,1984,1
195,261,262,1984,1
196,263,264,1984,1
197,263,265,1984,1
198,263,266,1984,1
199,263,267,1984,1
200,268,269,1984,1
201,270,271,1984,1
202,270,272,1984,1
203,270,273,1984,1
204,270,274,1984,1
205,275,276,1984,1
206,275,277,1984,1
207,278,279,1984,1
208,280,281,1984,1
209,280,282,1984,1
210,280,283,1984,1
211,280,284,1984,1
212,285,286,1984,1
213,287,288,1984,1
214,287,289,1984,1
215,287,290,1984,1
216,287,53,1984,1
217,291,292,1984,1
218,291,293,1984,1
219,291,294,1984,1
220,291,295,1984,1
221,296,297,1984,1
222,296,298,1984,1
223,299,300,1984,1
224,299,301,1984,1
