s,e,t
"gammage,md","libman,l",1984
"gammage,md","littler,wa",1984
"davies,p","prowle,m",1984
"zielinski,cc","dremsek,pa",1984
"zielinski,cc","ahmad,r",1984
"zielinski,cc","eibl,mm",1984
"holdaway,im","wilson,jd",1984
"lind,t","anderson,j",1984
"ellis,a","taylor,cj",1984
"ellis,a","dillonremmy,m",1984
"ellis,a","woodrow,jc",1984
"ellis,a","mcconnell,rb",1984
"fullard,e","fowler,g",1984
"fullard,e","gray,m",1984
"hinde,frj","johnston,di",1984
"ryder,rej","hayes,tm",1984
"ryder,rej","mulligan,ip",1984
"ryder,rej","kingswood,jc",1984
"ryder,rej","williams,s",1984
"ryder,rej","owens,dr",1984
"catterall,m","blake,pr",1984
"catterall,m","rampling,rp",1984
"barss,p","dakulala,p",1984
"barss,p","doolan,m",1984
"beermann,b","christensson,t",1984
"beermann,b","moller,p",1984
"beermann,b","stillstrom,a",1984
"baron,jh","greene,l",1984
"baron,jh","greene,l",1984
"critchley,emr","cantor,he",1984
"ottesen,b","wagner,g",1984
"ottesen,b","virag,r",1984
"ottesen,b","fahrenkrug,j",1984
"fagerberg,b","andersson,ok",1984
"fagerberg,b","isaksson,b",1984
"fagerberg,b","bjorntorp,p",1984
"walshaw,mj","pearson,mg",1984
"brandon,s","cowley,p",1984
"brandon,s","mcdonald,c",1984
"brandon,s","neville,p",1984
"brandon,s","palmer,r",1984
"brandon,s","wellstoodeason,s",1984
"lallemand,rc","vakil,pa",1984
"lallemand,rc","pearson,p",1984
"lallemand,rc","box,v",1984
"elwood,jm","gallagher,rp",1984
"elwood,jm","hill,gb",1984
"elwood,jm","spinelli,jj",1984
"elwood,jm","pearson,jcg",1984
"elwood,jm","threlfall,w",1984
"rustin,gjs","booth,m",1984
"rustin,gjs","dent,j",1984
"rustin,gjs","salt,s",1984
"rustin,gjs","rustin,f",1984
"rustin,gjs","bagshawe,kd",1984
"marsden,cd","obeso,ja",1984
"marsden,cd","traub,mm",1984
"marsden,cd","rothwell,jc",1984
"marsden,cd","kranz,h",1984
"marsden,cd","lacruz,f",1984
"shalev,o","wollner,a",1984
"shalev,o","menczel,j",1984
"mason,p","adams,j",1984
"mason,p","morris,dv",1984
"mason,p","tucker,m",1984
"mason,p","price,j",1984
"mason,p","voulgaris,z",1984
