,s,e,t
0,"gelfand,ew","cheung,rkk",1984
1,"gelfand,ew","ha,k",1984
2,"gelfand,ew","grinstein,s",1984
3,"eldridge,r","anayiotos,cp",1984
4,"eldridge,r","schlesinger,s",1984
5,"eldridge,r","cowen,d",1984
6,"eldridge,r","bever,c",1984
7,"eldridge,r","patronas,n",1984
8,"eldridge,r","mcfarland,h",1984
9,"guilleminault,c","pool,p",1984
10,"guilleminault,c","motta,j",1984
11,"guilleminault,c","gillis,am",1984
12,"curry,cjr","magenis,re",1984
13,"curry,cjr","brown,m",1984
14,"curry,cjr","lanman,jt",1984
15,"curry,cjr","tsai,j",1984
16,"curry,cjr","olague,p",1984
17,"curry,cjr","goodfellow,p",1984
18,"curry,cjr","mohandas,t",1984
19,"curry,cjr","bergner,ea",1984
20,"curry,cjr","shapiro,lj",1984
21,"comite,f","shawker,th",1984
22,"comite,f","pescovitz,oh",1984
23,"comite,f","loriaux,dl",1984
24,"comite,f","cutler,gb",1984
25,"nichols,rl","smith,jw",1984
26,"nichols,rl","klein,db",1984
27,"nichols,rl","trunkey,dd",1984
28,"nichols,rl","cooper,rh",1984
29,"nichols,rl","adinolfi,mf",1984
30,"nichols,rl","mills,j",1984
31,"kannel,wb","abbott,rd",1984
32,"foon,ka","sherwin,sa",1984
33,"foon,ka","abrams,pg",1984
34,"foon,ka","longo,dl",1984
35,"foon,ka","fer,mf",1984
36,"foon,ka","stevenson,hc",1984
37,"foon,ka","ochs,jj",1984
38,"foon,ka","bottino,gc",1984
39,"foon,ka","schoenberger,cs",1984
40,"foon,ka","zeffren,j",1984
41,"foon,ka","jaffe,es",1984
42,"foon,ka","oldham,rk",1984
43,"reeder,gs","krishan,i",1984
44,"reeder,gs","nobrega,ft",1984
45,"reeder,gs","naessens,j",1984
46,"reeder,gs","kelly,m",1984
47,"reeder,gs","christianson,jb",1984
48,"reeder,gs","mcafee,mk",1984
49,"sullivan,jl","medveczky,p",1984
50,"sullivan,jl","forman,sj",1984
51,"sullivan,jl","baker,sm",1984
52,"sullivan,jl","monroe,je",1984
53,"sullivan,jl","mulder,c",1984
54,"hartz,aj","anderson,aj",1984
55,"hartz,aj","brooks,hl",1984
56,"hartz,aj","manley,jc",1984
57,"hartz,aj","parent,gt",1984
58,"hartz,aj","barboriak,jj",1984
59,"turnbull,dm","bartlett,k",1984
60,"turnbull,dm","stevens,dl",1984
61,"turnbull,dm","alberti,kgmm",1984
62,"turnbull,dm","gibson,gj",1984
63,"turnbull,dm","johnson,ma",1984
64,"turnbull,dm","mcculloch,aj",1984
65,"turnbull,dm","sherratt,hsa",1984
66,"laurence,j","brunvezinet,f",1984
67,"laurence,j","schutzer,se",1984
68,"laurence,j","rouzioux,c",1984
69,"laurence,j","klatzmann,d",1984
70,"laurence,j","barresinoussi,f",1984
71,"laurence,j","chermann,jc",1984
72,"laurence,j","montagnier,l",1984
73,"riggs,bl","wahner,hw",1984
74,"riggs,bl","melton,lj",1984
75,"wasserman,ag","katz,rj",1984
76,"wasserman,ag","varghese,pj",1984
77,"wasserman,ag","leiboff,rh",1984
78,"wasserman,ag","bren,gg",1984
79,"wasserman,ag","schlesselman,s",1984
80,"wasserman,ag","varma,vm",1984
81,"wasserman,ag","reba,rc",1984
82,"wasserman,ag","ross,am",1984
83,"broder,s","gallo,rc",1984
84,"bravo,el","gifford,rw",1984
85,"campeau,l","enjalbert,m",1984
86,"campeau,l","lesperance,j",1984
87,"campeau,l","bourassa,mg",1984
88,"campeau,l","kwiterovich,p",1984
89,"campeau,l","wacholder,s",1984
90,"campeau,l","sniderman,a",1984
91,"detre,km","peduzzi,p",1984
92,"detre,km","takaro,t",1984
93,"detre,km","hultgren,hn",1984
94,"detre,km","murphy,ml",1984
95,"detre,km","kroncke,g",1984
96,"bonow,ro","kent,km",1984
97,"bonow,ro","rosing,dr",1984
98,"bonow,ro","lan,kkg",1984
99,"bonow,ro","lakatos,e",1984
100,"bonow,ro","borer,js",1984
101,"bonow,ro","bacharach,sl",1984
102,"bonow,ro","green,mv",1984
103,"bonow,ro","epstein,se",1984
104,"yen,ssc","cetel,ns",1984
105,"yen,ssc","futterman,la",1984
106,"straus,se","reinhold,w",1984
107,"straus,se","smith,ha",1984
108,"straus,se","ruyechan,wt",1984
109,"straus,se","henderson,dk",1984
110,"straus,se","blaese,rm",1984
111,"straus,se","hay,j",1984
112,"greenberg,er","barnes,ab",1984
113,"greenberg,er","resseguie,l",1984
114,"greenberg,er","barrett,ja",1984
115,"greenberg,er","burnside,s",1984
116,"greenberg,er","lanza,ll",1984
117,"greenberg,er","neff,rk",1984
118,"greenberg,er","stevens,m",1984
119,"greenberg,er","young,rh",1984
120,"greenberg,er","colton,t",1984
121,"lawley,tj","bielory,l",1984
122,"lawley,tj","gascon,p",1984
123,"lawley,tj","yancey,kb",1984
124,"lawley,tj","young,ns",1984
125,"lawley,tj","frank,mm",1984
126,"groopman,je","salahuddin,sz",1984
127,"groopman,je","sarngadharan,mg",1984
128,"groopman,je","mullins,ji",1984
129,"groopman,je","sullivan,jl",1984
130,"groopman,je","mulder,c",1984
131,"groopman,je","ohara,cj",1984
132,"groopman,je","cheeseman,sh",1984
133,"groopman,je","haverkos,h",1984
134,"groopman,je","forgacs,p",1984
135,"groopman,je","riedel,n",1984
136,"groopman,je","mclane,mf",1984
137,"groopman,je","essex,m",1984
138,"groopman,je","gallo,rc",1984
139,"bartzokas,ca","paton,jh",1984
140,"bartzokas,ca","gibson,mf",1984
141,"bartzokas,ca","graham,r",1984
142,"bartzokas,ca","mcloughlin,ga",1984
143,"bartzokas,ca","croton,rs",1984
144,"rentrop,kp","feit,f",1984
145,"rentrop,kp","blanke,h",1984
146,"rentrop,kp","stecy,p",1984
147,"rentrop,kp","schneider,r",1984
