s,e,t
"kaufman,dw","miller,dr",1984
"kaufman,dw","rosenberg,l",1984
"kaufman,dw","helmrich,sp",1984
"kaufman,dw","stolley,p",1984
"kaufman,dw","schottenfeld,d",1984
"kaufman,dw","shapiro,s",1984
"dodson,rf","greenberg,sd",1984
"dodson,rf","williams,mg",1984
"dodson,rf","corn,cj",1984
"dodson,rf","osullivan,mf",1984
"dodson,rf","hurst,ga",1984
"quinnan,gv","masur,h",1984
"quinnan,gv","rook,ah",1984
"quinnan,gv","armstrong,g",1984
"quinnan,gv","frederick,wr",1984
"quinnan,gv","epstein,j",1984
"quinnan,gv","manischewitz,jf",1984
"quinnan,gv","macher,am",1984
"quinnan,gv","jackson,l",1984
"quinnan,gv","ames,j",1984
"quinnan,gv","smith,ha",1984
"quinnan,gv","parker,m",1984
"quinnan,gv","pearson,gr",1984
"quinnan,gv","parrillo,j",1984
"quinnan,gv","mitchell,c",1984
"quinnan,gv","straus,se",1984
"gleicher,n","elkayam,u",1984
"fischbein,a","rohl,an",1984
"alexander,he","mccarty,k",1984
"alexander,he","giffen,mb",1984
"brady,em","margolis,ml",1984
"brady,em","korzeniowski,om",1984
"schroeder,sa","myers,lp",1984
"schroeder,sa","mcphee,sj",1984
"schroeder,sa","showstack,ja",1984
"schroeder,sa","simborg,dw",1984
"schroeder,sa","chapman,sa",1984
"schroeder,sa","leong,jk",1984
"shapiro,mf","hatch,rl",1984
"shapiro,mf","greenfield,s",1984
"demetriou,e","sackett,r",1984
"demetriou,e","welch,df",1984
"demetriou,e","kaplan,dw",1984
"gill,tj","jenkins,de",1984
"gershon,aa","steinberg,sp",1984
"gershon,aa","gelb,l",1984
"gershon,aa","galasso,g",1984
"gershon,aa","borkowsky,w",1984
"gershon,aa","larussa,p",1984
"gershon,aa","ferrara,a",1984
"winters,c","artnak,ej",1984
"winters,c","benjamin,sb",1984
"winters,c","castell,do",1984
"blair,sn","goodyear,nn",1984
"blair,sn","gibbons,lw",1984
"blair,sn","cooper,kh",1984
"paffenbarger,rs","hyde,rt",1984
"paffenbarger,rs","wing,al",1984
"paffenbarger,rs","steinmetz,ch",1984
"mahler,da","nelson,wn",1984
"mahler,da","hagerman,fc",1984
"vander,lb","franklin,ba",1984
"vander,lb","wrisley,d",1984
"vander,lb","scherf,j",1984
"vander,lb","kogler,aa",1984
"vander,lb","rubenfire,m",1984
"goldberg,l","elliot,dl",1984
"goldberg,l","schutz,rw",1984
"goldberg,l","kloster,fe",1984
"blume,fd","boyer,sj",1984
"blume,fd","braverman,le",1984
"blume,fd","cohen,a",1984
"blume,fd","dirkse,j",1984
"blume,fd","mordes,jp",1984
"thomas,pa","jaffe,hw",1984
"thomas,pa","spira,tj",1984
"thomas,pa","reiss,r",1984
"thomas,pa","guerrero,ic",1984
"thomas,pa","auerbach,d",1984
"bauer,sb","hallett,m",1984
"bauer,sb","khoshbin,s",1984
"bauer,sb","lebowitz,rl",1984
"bauer,sb","winston,kr",1984
"bauer,sb","gibson,s",1984
"bauer,sb","colodny,ah",1984
"bauer,sb","retik,ab",1984
"keller,mb","klerman,gl",1984
"keller,mb","lavori,pw",1984
"keller,mb","coryell,w",1984
"keller,mb","endicott,j",1984
"keller,mb","taylor,j",1984
"rabin,pl","rabin,d",1984
"erickson,jd","mulinare,j",1984
"erickson,jd","mcclain,pw",1984
"erickson,jd","fitch,tg",1984
"erickson,jd","james,lm",1984
"erickson,jd","mcclearn,ab",1984
"erickson,jd","adams,mj",1984
"adams,f","quesada,jr",1984
"adams,f","gutterman,ju",1984
"massey,fj","bernstein,gs",1984
"massey,fj","ofallon,wm",1984
