,H
0,0.008295973871423421
1,0.011833657141090598
2,0.029570781384082773
3,0.015200751638283622
4,0.024634887639244294
5,0.029570781384082773
6,0.023625118832856968
7,0.012972277643841875
8,0.007065755376091877
9,0.007065755376091877
10,0.015200751638283622
11,0.012972277643841875
12,0.016293403132044165
13,0.032452553079167036
14,0.015200751638283622
15,0.016293403132044165
16,0.015200751638283622
17,0.012972277643841875
18,0.014094133571128696
19,0.02260696852024844
20,0.02054371234070552
21,0.025636673440889643
22,0.004495698701177629
23,0.014094133571128696
24,0.009498180523351583
25,0.016293403132044165
26,0.009498180523351583
27,0.014094133571128696
28,0.025636673440889643
29,0.019497569744721926
30,0.017373163122899188
31,0.009498180523351583
32,0.011833657141090598
33,0.007065755376091877
34,0.012972277643841875
35,0.02054371234070552
36,0.014094133571128696
37,0.014094133571128696
38,0.011833657141090598
39,0.009498180523351583
40,0.021579996196771735
41,0.027617713437990236
42,0.029570781384082773
43,0.010676404162150143
44,0.018440952673885895
45,0.016293403132044165
46,0.02054371234070552
47,0.016293403132044165
48,0.02054371234070552
49,0.004495698701177629
50,0.008295973871423421
51,0.023625118832856968
52,0.009498180523351583
53,0.011833657141090598
54,0.010676404162150143
55,0.014094133571128696
56,0.011833657141090598
57,0.016293403132044165
58,0.03806453751777879
59,0.016293403132044165
60,0.014094133571128696
61,0.023625118832856968
62,0.07824736482929857
63,0.03806453751777879
64,0.035282175924204996
65,0.014094133571128696
66,0.005801856541890816
67,0.0031327167323199415
68,0.010676404162150143
69,0.02054371234070552
70,0.010676404162150143
71,0.012972277643841875
72,0.008295973871423421
73,0.007065755376091877
74,0.02054371234070552
75,0.010676404162150143
76,0.009498180523351583
77,0.005801856541890816
78,0.009498180523351583
79,0.008295973871423421
80,0.014094133571128696
81,0.02663083847231998
82,0.017373163122899188
83,0.023625118832856968
84,0.014094133571128696
85,0.012972277643841875
86,0.042607477037656986
87,0.017373163122899188
88,0.005801856541890816
89,0.015200751638283622
90,0.012972277643841875
91,0.011833657141090598
92,0.010676404162150143
93,0.009498180523351583
94,0.009498180523351583
95,0.017373163122899188
96,0.03621466614398027
97,0.011833657141090598
98,0.008295973871423421
99,0.009498180523351583
100,0.009498180523351583
101,0.008295973871423421
102,0.005801856541890816
103,0.025636673440889643
104,0.016293403132044165
105,0.027617713437990236
106,0.034344441283215156
107,0.035282175924204996
108,0.012972277643841875
109,0.004495698701177629
110,0.007065755376091877
111,0.005801856541890816
112,0.004495698701177629
113,0.035282175924204996
114,0.03806453751777879
115,0.028597601458429524
116,0.018440952673885895
117,0.008295973871423421
118,0.005801856541890816
119,0.0031327167323199415
120,0.004495698701177629
121,0.024634887639244294
122,0.009498180523351583
123,0.014094133571128696
124,0.005801856541890816
125,0.004495698701177629
126,0.004495698701177629
127,0.007065755376091877
128,0.034344441283215156
129,0.03989521530035313
130,0.009498180523351583
131,0.009498180523351583
132,0.016293403132044165
133,0.024634887639244294
134,0.010676404162150143
135,0.012972277643841875
136,0.019497569744721926
137,0.024634887639244294
138,0.005801856541890816
139,0.02054371234070552
140,0.019497569744721926
141,0.024634887639244294
142,0.023625118832856968
143,0.014094133571128696
144,0.004495698701177629
145,0.011833657141090598
146,0.005801856541890816
147,0.018440952673885895
148,0.008295973871423421
149,0.008295973871423421
150,0.012972277643841875
151,0.012972277643841875
152,0.014094133571128696
153,0.008295973871423421
154,0.011833657141090598
155,0.02054371234070552
156,0.005801856541890816
157,0.02260696852024844
158,0.010676404162150143
159,0.012972277643841875
160,0.052247775766972746
161,0.014094133571128696
162,0.010676404162150143
163,0.007065755376091877
164,0.012972277643841875
165,0.02260696852024844
166,0.014094133571128696
167,0.017373163122899188
168,0.017373163122899188
169,0.024634887639244294
170,0.018440952673885895
171,0.011833657141090598
172,0.018440952673885895
173,0.018440952673885895
174,0.027617713437990236
175,0.012972277643841875
176,0.007065755376091877
177,0.011833657141090598
178,0.019497569744721926
179,0.016293403132044165
180,0.02260696852024844
181,0.017373163122899188
182,0.005801856541890816
183,0.028597601458429524
184,0.008295973871423421
185,0.008295973871423421
186,0.011833657141090598
187,0.011833657141090598
188,0.017373163122899188
189,0.012972277643841875
190,0.018440952673885895
191,0.008295973871423421
192,0.005801856541890816
193,0.014094133571128696
194,0.010676404162150143
195,0.012972277643841875
196,0.008295973871423421
197,0.005801856541890816
198,0.010676404162150143
199,0.009498180523351583
200,0.012972277643841875
201,0.001682242907959076
202,0.012972277643841875
203,0.008295973871423421
204,0.007065755376091877
205,0.009498180523351583
206,0.008295973871423421
207,0.018440952673885895
208,0.023625118832856968
209,0.03340129361800566
210,0.025636673440889643
211,0.017373163122899188
212,0.010676404162150143
213,0.009498180523351583
214,0.02054371234070552
215,0.007065755376091877
216,0.008295973871423421
217,0.010676404162150143
218,0.004495698701177629
219,0.007065755376091877
220,0.010676404162150143
221,0.016293403132044165
222,0.012972277643841875
223,0.0031327167323199415
224,0.005801856541890816
225,0.015200751638283622
226,0.0031327167323199415
227,0.004495698701177629
228,0.005801856541890816
229,0.005801856541890816
230,0.010676404162150143
231,0.021579996196771735
232,0.015200751638283622
233,0.012972277643841875
234,0.010676404162150143
235,0.019497569744721926
236,0.007065755376091877
237,0.015200751638283622
238,0.0031327167323199415
239,0.007065755376091877
240,0.008295973871423421
241,0.008295973871423421
242,0.010676404162150143
243,0.010676404162150143
244,0.014094133571128696
245,0.005801856541890816
246,0.005801856541890816
247,0.011833657141090598
248,0.03340129361800566
249,0.011833657141090598
250,0.016293403132044165
251,0.016293403132044165
252,0.001682242907959076
253,0.015200751638283622
254,0.008295973871423421
255,0.032452553079167036
256,0.007065755376091877
257,0.011833657141090598
258,0.009498180523351583
259,0.008295973871423421
260,0.007065755376091877
261,0.010676404162150143
262,0.007065755376091877
263,0.0031327167323199415
264,0.010676404162150143
265,0.010676404162150143
266,0.02260696852024844
267,0.0031327167323199415
268,0.008295973871423421
269,0.011833657141090598
270,0.007065755376091877
271,0.009498180523351583
272,0.014094133571128696
273,0.001682242907959076
274,0.010676404162150143
275,0.004495698701177629
276,0.021579996196771735
277,0.034344441283215156
278,0.03149802740658517
279,0.017373163122899188
280,0.019497569744721926
281,0.015200751638283622
282,0.005801856541890816
283,0.010676404162150143
284,0.0031327167323199415
285,0.02260696852024844
286,0.007065755376091877
287,0.007065755376091877
288,0.005801856541890816
289,0.005801856541890816
290,0.011833657141090598
291,0.02054371234070552
292,0.009498180523351583
293,0.004495698701177629
294,0.005801856541890816
295,0.014094133571128696
296,0.010676404162150143
297,0.012972277643841875
298,0.009498180523351583
299,0.027617713437990236
300,0.004495698701177629
301,0.017373163122899188
302,0.009498180523351583
303,0.0031327167323199415
304,0.009498180523351583
305,0.010676404162150143
306,0.007065755376091877
307,0.016293403132044165
308,0.008295973871423421
309,0.001682242907959076
310,0.008295973871423421
311,0.0031327167323199415
312,0.012972277643841875
313,0.007065755376091877
314,0.014094133571128696
315,0.004495698701177629
316,0.021579996196771735
317,0.017373163122899188
318,0.009498180523351583
319,0.010676404162150143
320,0.004495698701177629
321,0.007065755376091877
322,0.004495698701177629
323,0.007065755376091877
324,0.005801856541890816
325,0.02663083847231998
326,0.004495698701177629
327,0.004495698701177629
328,0.001682242907959076
329,0.011833657141090598
330,0.008295973871423421
331,0.009498180523351583
332,0.014094133571128696
333,0.009498180523351583
334,0.016293403132044165
335,0.014094133571128696
336,0.023625118832856968
337,0.005801856541890816
338,0.011833657141090598
339,0.005801856541890816
340,0.007065755376091877
341,0.005801856541890816
342,0.010676404162150143
343,0.007065755376091877
344,0.009498180523351583
345,0.0031327167323199415
346,0.0031327167323199415
347,0.004495698701177629
348,0.007065755376091877
349,0.02054371234070552
350,0.008295973871423421
351,0.010676404162150143
352,0.0031327167323199415
353,0.012972277643841875
354,0.009498180523351583
355,0.018440952673885895
356,0.004495698701177629
357,0.011833657141090598
358,0.007065755376091877
359,0.012972277643841875
360,0.018440952673885895
361,0.019497569744721926
362,0.017373163122899188
363,0.008295973871423421
364,0.02260696852024844
365,0.017373163122899188
366,0.02054371234070552
367,0.018440952673885895
368,0.012972277643841875
369,0.001682242907959076
370,0.014094133571128696
371,0.02260696852024844
372,0.011833657141090598
373,0.004495698701177629
374,0.004495698701177629
375,0.015200751638283622
376,0.011833657141090598
377,0.035282175924204996
378,0.005801856541890816
379,0.016293403132044165
380,0.012972277643841875
381,0.008295973871423421
382,0.001682242907959076
383,0.001682242907959076
384,0.004495698701177629
385,0.007065755376091877
386,0.0031327167323199415
387,0.007065755376091877
388,0.004495698701177629
389,0.010676404162150143
390,0.010676404162150143
391,0.005801856541890816
392,0.0031327167323199415
393,0.016293403132044165
394,0.016293403132044165
395,0.010676404162150143
396,0.004495698701177629
397,0.012972277643841875
398,0.001682242907959076
399,0.0031327167323199415
400,0.004495698701177629
401,0.012972277643841875
402,0.008295973871423421
403,0.007065755376091877
404,0.02054371234070552
405,0.004495698701177629
406,0.007065755376091877
407,0.004495698701177629
408,0.005801856541890816
409,0.008295973871423421
410,0.011833657141090598
411,0.010676404162150143
412,0.005801856541890816
413,0.001682242907959076
414,0.001682242907959076
415,0.025636673440889643
416,0.009498180523351583
417,0.012972277643841875
418,0.011833657141090598
419,0.008295973871423421
420,0.0031327167323199415
421,0.008295973871423421
422,0.02054371234070552
423,0.005801856541890816
424,0.0031327167323199415
425,0.016293403132044165
426,0.010676404162150143
427,0.017373163122899188
428,0.009498180523351583
429,0.005801856541890816
430,0.004495698701177629
431,0.007065755376091877
432,0.035282175924204996
433,0.001682242907959076
434,0.001682242907959076
435,0.009498180523351583
436,0.025636673440889643
437,0.001682242907959076
438,0.024634887639244294
439,0.012972277643841875
440,0.005801856541890816
441,0.014094133571128696
442,0.012972277643841875
443,0.0031327167323199415
444,0.014094133571128696
445,0.012972277643841875
446,0.014094133571128696
447,0.001682242907959076
448,0.019497569744721926
449,0.004495698701177629
450,0.011833657141090598
451,0.007065755376091877
452,0.0031327167323199415
453,0.019497569744721926
454,0.0031327167323199415
455,0.011833657141090598
456,0.018440952673885895
457,0.011833657141090598
458,0.004495698701177629
459,0.009498180523351583
460,0.001682242907959076
461,0.009498180523351583
462,0.001682242907959076
463,0.011833657141090598
464,0.009498180523351583
465,0.001682242907959076
466,0.005801856541890816
467,0.004495698701177629
468,0.0031327167323199415
469,0.001682242907959076
470,0.016293403132044165
471,0.02054371234070552
472,0.001682242907959076
473,0.004495698701177629
474,0.0031327167323199415
475,0.009498180523351583
476,0.001682242907959076
477,0.007065755376091877
478,0.010676404162150143
479,0.011833657141090598
480,0.010676404162150143
481,0.015200751638283622
482,0.007065755376091877
483,0.007065755376091877
484,0.012972277643841875
485,0.001682242907959076
486,0.001682242907959076
487,0.007065755376091877
488,0.004495698701177629
489,0.004495698701177629
490,0.016293403132044165
491,0.014094133571128696
492,0.017373163122899188
493,0.008295973871423421
494,0.0031327167323199415
495,0.014094133571128696
496,0.009498180523351583
497,0.004495698701177629
498,0.001682242907959076
499,0.0031327167323199415
500,0.001682242907959076
501,0.0031327167323199415
502,0.0031327167323199415
503,0.010676404162150143
504,0.001682242907959076
505,0.008295973871423421
506,0.008295973871423421
507,0.007065755376091877
508,0.0031327167323199415
509,0.001682242907959076
510,0.008295973871423421
511,0.007065755376091877
512,0.007065755376091877
513,0.004495698701177629
514,0.001682242907959076
515,0.009498180523351583
516,0.015200751638283622
517,0.004495698701177629
518,0.001682242907959076
519,0.001682242907959076
520,0.001682242907959076
521,0.007065755376091877
522,0.009498180523351583
523,0.009498180523351583
524,0.004495698701177629
525,0.008295973871423421
526,0.010676404162150143
527,0.001682242907959076
528,0.005801856541890816
529,0.009498180523351583
530,0.009498180523351583
