,H
0,0.16866093149667025
1,0.16866093149667025
2,-0.0
3,-0.0
4,-0.0
5,-0.0
6,-0.0
7,0.16866093149667025
8,-0.0
9,0.16866093149667025
10,-0.0
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,-0.0
17,-0.0
18,-0.0
19,-0.0
20,-0.0
21,-0.0
22,-0.0
23,-0.0
24,-0.0
25,-0.0
26,-0.0
27,-0.0
28,-0.0
29,-0.0
30,0.28639695711595625
31,-0.0
32,0.16866093149667025
33,-0.0
34,0.16866093149667025
35,0.16866093149667025
36,0.16866093149667025
37,0.16866093149667025
38,0.16866093149667025
39,-0.0
40,0.16866093149667025
41,-0.0
42,-0.0
43,-0.0
44,-0.0
45,-0.0
46,-0.0
47,-0.0
48,-0.0
49,-0.0
50,-0.0
51,-0.0
52,-0.0
53,0.28639695711595625
54,-0.0
55,0.16866093149667025
56,-0.0
57,-0.0
58,-0.0
59,0.4689955935892812
60,0.28639695711595625
61,-0.0
62,0.28639695711595625
63,0.16866093149667025
64,-0.0
65,-0.0
66,-0.0
67,0.16866093149667025
68,0.28639695711595625
69,-0.0
70,-0.0
71,-0.0
72,-0.0
73,0.16866093149667025
74,-0.0
75,-0.0
76,-0.0
77,-0.0
78,-0.0
79,0.28639695711595625
80,-0.0
81,0.16866093149667025
82,0.16866093149667025
83,-0.0
84,-0.0
85,-0.0
86,-0.0
87,-0.0
88,-0.0
89,-0.0
90,-0.0
91,-0.0
92,-0.0
93,-0.0
94,-0.0
95,-0.0
96,-0.0
97,-0.0
98,-0.0
99,-0.0
100,-0.0
101,-0.0
102,0.4689955935892812
103,-0.0
104,0.16866093149667025
105,-0.0
106,-0.0
107,-0.0
108,-0.0
109,0.16866093149667025
110,-0.0
111,-0.0
112,-0.0
113,-0.0
114,-0.0
115,-0.0
116,-0.0
117,0.16866093149667025
118,0.5435644431995964
119,0.16866093149667025
120,0.16866093149667025
121,0.5435644431995964
122,-0.0
123,-0.0
124,0.16866093149667025
125,-0.0
126,-0.0
127,-0.0
128,-0.0
129,-0.0
130,0.16866093149667025
131,-0.0
132,-0.0
133,-0.0
134,-0.0
135,-0.0
136,-0.0
137,-0.0
138,-0.0
139,-0.0
140,-0.0
141,-0.0
142,-0.0
143,-0.0
144,-0.0
145,-0.0
146,0.16866093149667025
147,-0.0
148,0.16866093149667025
149,-0.0
150,-0.0
151,0.38431154412649704
152,-0.0
153,-0.0
154,0.38431154412649704
155,-0.0
156,-0.0
157,-0.0
158,0.7691928290130138
159,0.28639695711595625
160,0.16866093149667025
161,0.16866093149667025
162,0.16866093149667025
163,-0.0
164,-0.0
