index,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
CN,0.64,0.56,0.668,0.71,0.645,0.77,0.917,0.584,0.572,0.633
AA,0.64,0.56,0.668,0.707,0.645,0.774,0.919,0.583,0.571,0.631
RA,0.64,0.56,0.668,0.71,0.645,0.774,0.916,0.584,0.572,0.633
JACC,0.64,0.56,0.668,0.709,0.645,0.722,0.905,0.584,0.572,0.633
LHN,0.64,0.56,0.668,0.71,0.645,0.745,0.883,0.584,0.572,0.633
WCN,0.64,0.56,0.668,0.71,0.645,0.77,0.917,0.584,0.572,0.633
WAA,0.64,0.56,0.668,0.71,0.645,0.774,0.918,0.584,0.572,0.633
WRA,0.64,0.56,0.668,0.71,0.645,0.774,0.919,0.584,0.572,0.633
rWCN,0.64,0.56,0.668,0.71,0.645,0.77,0.917,0.584,0.572,0.633
rWAA,0.64,0.56,0.668,0.71,0.645,0.774,0.918,0.584,0.572,0.633
rWRA,0.64,0.56,0.668,0.71,0.645,0.774,0.919,0.584,0.572,0.633
CN_MI,0.832,0.811,0.843,0.852,0.831,0.901,0.967,0.993,0.993,0.99
CN_TE,0.748,0.639,0.758,0.772,0.702,0.897,0.955,0.764,0.758,0.804
TCN_mean_CN,0.751,0.787,0.77,0.776,0.715,0.836,0.816,0.792,0.829,0.791
TCN_min_CN,0.822,0.808,0.819,0.827,0.787,0.975,0.965,0.982,0.985,0.978
DeepWalk,0.59,0.513,0.578,0.579,0.496,0.488,0.847,0.908,0.918,0.893
Node2vec,0.573,0.51,0.568,0.593,0.499,0.479,0.831,0.902,0.926,0.889
