Precision,,,,,,,,,,
,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
CN,0.484,0.331,0.524,0.537,0.485,0.575,0.781,0.368,0.358,0.436
AA,0.503,0.338,0.514,0.535,0.482,0.63,0.846,0.355,0.353,0.452
RA,0.449,0.337,0.52,0.538,0.478,0.63,0.828,0.371,0.348,0.437
JACC,0.467,0.345,0.503,0.545,0.476,0.613,0.808,0.378,0.349,0.449
LHN,0.475,0.337,0.52,0.549,0.49,0.648,0.813,0.379,0.346,0.436
WCN,0.482,0.341,0.512,0.54,0.494,0.601,0.785,0.391,0.35,0.439
WAA,0.484,0.338,0.52,0.549,0.491,0.657,0.835,0.378,0.358,0.454
WRA,0.496,0.341,0.514,0.538,0.484,0.657,0.839,0.373,0.35,0.485
rWCN,0.473,0.333,0.524,0.542,0.485,0.599,0.796,0.384,0.364,0.444
rWAA,0.473,0.339,0.511,0.537,0.481,0.654,0.834,0.381,0.351,0.478
rWRA,0.487,0.338,0.516,0.539,0.481,0.659,0.832,0.37,0.358,0.444
TCN,0.48,0.341,0.522,0.546,0.485,0.692,0.875,0.39,0.355,0.423
TRA,0.408,0.297,0.42,0.412,0.426,0.694,0.873,0.361,0.348,0.416
TLHN,0.484,0.336,0.514,0.542,0.498,0.689,0.876,0.376,0.351,0.465
TJACC,0.473,0.345,0.518,0.523,0.49,0.694,0.875,0.375,0.355,0.449
MI,0.6,0.61,0.621,0.643,0.617,0.904,0.911,0.958,0.96,0.951
TE,0.549,0.559,0.524,0.565,0.506,0.879,0.726,0.333,0.288,0.397
CN_TE,0.645,0.589,0.642,0.708,0.595,0.77,0.867,0.382,0.325,0.468
CN_MI,0.651,0.634,0.677,0.703,0.683,0.773,0.867,0.965,0.969,0.96
TCN_mean,0.687,0.889,0.73,0.775,0.832,0.397,0.499,0.241,0.222,0.232
TCN_min,0.683,0.884,0.715,0.767,0.851,0.395,0.474,0.244,0.223,0.239
AUC,,,,,,,,,,
,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
CN,0.654,0.559,0.68,0.692,0.661,0.753,0.899,0.582,0.569,0.628
AA,0.654,0.559,0.68,0.688,0.661,0.76,0.902,0.581,0.568,0.628
RA,0.654,0.559,0.68,0.692,0.661,0.763,0.905,0.582,0.569,0.628
JACC,0.654,0.559,0.68,0.692,0.661,0.697,0.887,0.582,0.569,0.628
LHN,0.654,0.559,0.68,0.692,0.661,0.73,0.88,0.582,0.569,0.627
WCN,0.654,0.558,0.679,0.692,0.659,0.761,0.912,0.582,0.569,0.632
WAA,0.654,0.558,0.679,0.692,0.659,0.763,0.915,0.582,0.569,0.632
WRA,0.654,0.558,0.679,0.692,0.659,0.763,0.916,0.582,0.569,0.632
rWCN,0.654,0.558,0.679,0.692,0.659,0.761,0.912,0.582,0.569,0.632
rWAA,0.654,0.558,0.679,0.692,0.659,0.763,0.915,0.582,0.569,0.632
rWRA,0.654,0.558,0.679,0.692,0.659,0.763,0.916,0.582,0.569,0.632
TCN,0.654,0.559,0.68,0.692,0.659,0.749,0.909,0.582,0.569,0.629
TRA,0.603,0.535,0.613,0.611,0.611,0.754,0.901,0.577,0.563,0.615
TLHN,0.654,0.559,0.68,0.692,0.659,0.668,0.888,0.582,0.569,0.631
TJACC,0.654,0.559,0.68,0.692,0.659,0.7,0.903,0.582,0.569,0.631
MI,0.756,0.757,0.757,0.778,0.769,0.952,0.953,0.987,0.989,0.979
TE,0.675,0.663,0.65,0.652,0.606,0.928,0.836,0.398,0.33,0.467
CN_TE,0.751,0.701,0.761,0.803,0.708,0.881,0.932,0.425,0.358,0.529
CN_MI,0.804,0.776,0.825,0.853,0.82,0.884,0.969,0.988,0.991,0.985
TCN_mean,0.781,0.958,0.83,0.859,0.904,0.374,0.487,0.43,0.472,0.43
TCN_min,0.805,0.962,0.843,0.868,0.908,0.465,0.486,0.455,0.494,0.461
