index,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
CN,0.456,0.346,0.504,0.549,0.46,0.608,0.804,0.369,0.368,0.459
AA,0.459,0.34,0.505,0.556,0.461,0.651,0.837,0.362,0.361,0.439
RA,0.451,0.343,0.497,0.572,0.466,0.658,0.835,0.371,0.357,0.461
JACC,0.457,0.339,0.507,0.545,0.448,0.631,0.817,0.383,0.349,0.451
LHN,0.458,0.342,0.497,0.576,0.444,0.658,0.829,0.379,0.36,0.45
WCN,0.43,0.34,0.499,0.558,0.463,0.607,0.806,0.382,0.355,0.473
WAA,0.464,0.338,0.508,0.577,0.463,0.655,0.839,0.388,0.359,0.442
WRA,0.462,0.349,0.511,0.582,0.493,0.657,0.839,0.383,0.362,0.447
rWCN,0.451,0.343,0.502,0.577,0.463,0.614,0.803,0.371,0.362,0.461
rWAA,0.447,0.339,0.497,0.545,0.494,0.658,0.841,0.382,0.355,0.431
rWRA,0.448,0.349,0.489,0.572,0.467,0.654,0.838,0.379,0.358,0.467
CN_MI,0.708,0.661,0.698,0.709,0.666,0.791,0.867,0.969,0.972,0.958
CN_TE,0.639,0.559,0.637,0.671,0.594,0.793,0.868,0.636,0.659,0.621
TCN_mean_CN,0.607,0.62,0.6,0.631,0.57,0.745,0.743,0.693,0.696,0.677
TCN_min_CN,0.632,0.653,0.613,0.626,0.566,0.91,0.913,0.955,0.96,0.947
DeepWalk,0.7,0.656,0.688,0.705,0.66,0.489,0.913,0.948,0.961,0.938
Node2vec,0.698,0.658,0.684,0.708,0.651,0.482,0.895,0.949,0.971,0.937
