,H
0,0.5435644431995964
1,0.38431154412649704
2,0.28639695711595625
3,-0.0
4,0.28639695711595625
5,0.16866093149667025
6,0.16866093149667025
7,0.16866093149667025
8,-0.0
9,-0.0
10,-0.0
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,-0.0
17,0.16866093149667025
18,-0.0
19,-0.0
20,-0.0
21,0.16866093149667025
22,-0.0
23,-0.0
24,-0.0
25,0.28639695711595625
26,-0.0
27,0.16866093149667025
28,0.28639695711595625
29,-0.0
30,-0.0
31,-0.0
32,-0.0
33,-0.0
34,-0.0
35,-0.0
36,-0.0
37,-0.0
38,0.16866093149667025
39,-0.0
40,0.28639695711595625
41,-0.0
42,0.16866093149667025
43,0.16866093149667025
44,0.38431154412649704
45,0.4689955935892812
46,0.16866093149667025
47,0.16866093149667025
48,-0.0
49,-0.0
50,-0.0
51,-0.0
52,-0.0
53,-0.0
54,-0.0
55,-0.0
56,-0.0
57,-0.0
58,-0.0
59,-0.0
60,-0.0
61,0.16866093149667025
62,-0.0
63,-0.0
64,0.16866093149667025
65,-0.0
66,-0.0
67,-0.0
68,-0.0
69,0.16866093149667025
70,0.16866093149667025
71,-0.0
72,-0.0
73,0.28639695711595625
74,0.7691928290130138
75,0.28639695711595625
76,0.38431154412649704
77,-0.0
78,0.16866093149667025
79,0.16866093149667025
80,-0.0
81,0.4689955935892812
82,-0.0
83,-0.0
84,0.38431154412649704
85,-0.0
86,0.16866093149667025
87,0.16866093149667025
88,-0.0
89,-0.0
90,-0.0
91,-0.0
92,0.16866093149667025
93,-0.0
94,-0.0
95,0.16866093149667025
96,-0.0
97,-0.0
98,0.6690158350565576
99,-0.0
100,0.28639695711595625
101,-0.0
102,0.16866093149667025
103,-0.0
104,-0.0
105,-0.0
106,-0.0
107,-0.0
108,-0.0
109,-0.0
110,0.16866093149667025
111,-0.0
112,0.16866093149667025
113,-0.0
114,-0.0
115,-0.0
116,0.28639695711595625
117,-0.0
118,-0.0
119,0.28639695711595625
120,-0.0
121,0.38431154412649704
122,0.28639695711595625
123,-0.0
124,0.16866093149667025
125,0.16866093149667025
126,-0.0
127,-0.0
128,-0.0
129,0.16866093149667025
130,-0.0
131,0.16866093149667025
132,0.16866093149667025
133,-0.0
134,-0.0
135,-0.0
136,-0.0
137,-0.0
138,-0.0
139,-0.0
140,-0.0
141,-0.0
142,0.28639695711595625
143,0.28639695711595625
144,-0.0
145,-0.0
146,-0.0
147,-0.0
148,-0.0
149,-0.0
150,-0.0
151,-0.0
152,-0.0
153,-0.0
154,-0.0
155,0.16866093149667025
156,0.16866093149667025
157,0.16866093149667025
158,0.7691928290130138
159,0.16866093149667025
160,-0.0
161,-0.0
162,-0.0
163,-0.0
164,-0.0
165,-0.0
166,0.28639695711595625
167,-0.0
168,0.38431154412649704
169,-0.0
170,0.28639695711595625
171,-0.0
172,-0.0
173,-0.0
174,-0.0
175,-0.0
176,-0.0
177,-0.0
178,-0.0
179,-0.0
180,0.16866093149667025
181,-0.0
182,-0.0
183,0.28639695711595625
184,-0.0
185,-0.0
186,-0.0
187,-0.0
188,-0.0
189,-0.0
190,-0.0
191,-0.0
192,-0.0
193,-0.0
194,-0.0
195,-0.0
196,-0.0
197,0.16866093149667025
198,-0.0
199,-0.0
200,0.6690158350565576
201,-0.0
202,-0.0
203,0.5435644431995964
204,0.4689955935892812
205,-0.0
206,-0.0
207,-0.0
208,0.28639695711595625
209,-0.0
210,-0.0
211,-0.0
212,-0.0
213,-0.0
214,-0.0
215,-0.0
216,-0.0
217,0.28639695711595625
218,-0.0
219,0.8112781244591328
220,-0.0
221,-0.0
222,-0.0
223,-0.0
224,-0.0
225,0.28639695711595625
226,0.4689955935892812
227,-0.0
228,-0.0
229,-0.0
230,-0.0
231,-0.0
232,-0.0
233,-0.0
234,-0.0
235,-0.0
236,0.4689955935892812
237,-0.0
238,-0.0
239,-0.0
240,-0.0
241,-0.0
242,-0.0
243,-0.0
244,-0.0
245,-0.0
246,0.16866093149667025
247,-0.0
248,0.28639695711595625
249,-0.0
250,-0.0
251,-0.0
252,-0.0
253,-0.0
254,-0.0
255,0.28639695711595625
256,0.38431154412649704
257,-0.0
258,-0.0
259,0.16866093149667025
260,-0.0
261,-0.0
262,0.16866093149667025
263,0.16866093149667025
264,0.38431154412649704
265,0.16866093149667025
266,-0.0
267,-0.0
268,-0.0
269,-0.0
270,0.16866093149667025
271,-0.0
272,-0.0
273,-0.0
274,-0.0
275,-0.0
276,-0.0
277,-0.0
278,-0.0
279,-0.0
280,-0.0
281,-0.0
282,-0.0
283,-0.0
284,-0.0
285,-0.0
286,0.16866093149667025
287,-0.0
288,-0.0
289,-0.0
290,-0.0
291,-0.0
292,-0.0
293,-0.0
294,-0.0
295,-0.0
296,-0.0
297,-0.0
298,-0.0
299,-0.0
300,-0.0
301,-0.0
302,-0.0
303,0.16866093149667025
304,-0.0
305,0.4689955935892812
306,-0.0
307,-0.0
308,-0.0
309,-0.0
310,-0.0
311,0.28639695711595625
312,-0.0
313,-0.0
314,-0.0
315,-0.0
316,-0.0
317,-0.0
318,0.38431154412649704
319,-0.0
320,-0.0
321,-0.0
322,-0.0
323,0.28639695711595625
324,-0.0
325,-0.0
326,-0.0
327,-0.0
328,-0.0
329,0.16866093149667025
330,-0.0
331,0.7219280948873623
332,0.16866093149667025
333,-0.0
334,-0.0
335,0.28639695711595625
336,0.16866093149667025
337,0.28639695711595625
338,-0.0
339,-0.0
340,0.16866093149667025
341,0.16866093149667025
342,-0.0
343,-0.0
344,-0.0
345,0.16866093149667025
346,-0.0
347,0.16866093149667025
348,-0.0
349,-0.0
350,-0.0
351,-0.0
352,-0.0
353,-0.0
354,-0.0
355,-0.0
356,-0.0
357,0.28639695711595625
358,-0.0
359,-0.0
360,-0.0
361,-0.0
362,-0.0
363,0.16866093149667025
364,0.28639695711595625
365,-0.0
366,-0.0
367,0.16866093149667025
368,-0.0
369,-0.0
370,-0.0
371,-0.0
372,0.28639695711595625
373,0.16866093149667025
374,-0.0
375,-0.0
376,-0.0
377,-0.0
378,-0.0
379,-0.0
380,-0.0
381,-0.0
382,-0.0
383,-0.0
384,0.16866093149667025
385,-0.0
386,-0.0
387,-0.0
388,-0.0
389,-0.0
390,-0.0
391,-0.0
392,-0.0
393,-0.0
394,0.16866093149667025
395,-0.0
396,-0.0
397,-0.0
398,0.28639695711595625
399,-0.0
400,-0.0
401,-0.0
402,-0.0
403,-0.0
404,-0.0
405,0.16866093149667025
406,-0.0
407,-0.0
408,-0.0
409,-0.0
410,-0.0
411,-0.0
412,0.28639695711595625
413,0.38431154412649704
414,-0.0
415,-0.0
416,0.28639695711595625
417,-0.0
418,0.16866093149667025
419,-0.0
420,-0.0
421,-0.0
